order,name,version,direct,selection_reason,filename,selected_tag,size_bytes,sha256,url,source_index,requires_python,upload_time_iso_8601
59,pydantic,2.13.4,True,DIRECT_PIN_VERIFIED_HOST,pydantic-2.13.4-py3-none-any.whl,py3-none-any,472262,45a282cde31d808236fd7ea9d919b128653c8b38b393d1c4ab335c62924d9aba,https://files.pythonhosted.org/packages/fd/7b/122376b1fd3c62c1ed9dc80c931ace4844b3c55407b6fb2d199377c9736f/pydantic-2.13.4-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-05-06T13:43:02.641507Z
60,pydantic-core,2.46.4,False,VERIFIED_HOST_VERSION,pydantic_core-2.46.4-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,2072238,811ff8e9c313ab425368bcbb36e5c4ebd7108c2bbf4e4089cfbb0b01eff63fac,https://files.pythonhosted.org/packages/fc/b6/6b8de4c0a7d7ab3004c439c80c5c1e0a3e8d78bbae19379b01960383d9e5/pydantic_core-2.46.4-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.9,2026-05-06T13:39:40.807145Z
61,pydantic-settings,2.14.2,True,DIRECT_PIN_VERIFIED_HOST,pydantic_settings-2.14.2-py3-none-any.whl,py3-none-any,61715,a20c97b37910b6550d5ea50fbcc2d4187defe58cd57070b73863d069419c9440,https://files.pythonhosted.org/packages/77/c1/6e422f34e569cf8e18df68d1939c81c099d2b61e4f7d9621c8a77560799c/pydantic_settings-2.14.2-py3-none-any.whl,https://pypi.org/simple,>=3.10,2026-06-19T13:44:55.020275Z
62,pygithub,2.9.1,False,VERIFIED_HOST_VERSION,pygithub-2.9.1-py3-none-any.whl,py3-none-any,449710,2ec78fca30092d51a42d76f4ddb02131b6f0c666a35dfdf364cf302cdda115b9,https://files.pythonhosted.org/packages/77/aa/81a5506f089a26338bff17535e4339b3b22049ebd1bcdeff756c4d7a7559/pygithub-2.9.1-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-04-14T07:26:12.382245Z
63,pygments,2.20.0,False,VERIFIED_HOST_VERSION,pygments-2.20.0-py3-none-any.whl,py3-none-any,1231151,81a9e26dd42fd28a23a2d169d86d7ac03b46e2f8b59ed4698fb4785f946d0176,https://files.pythonhosted.org/packages/f4/7e/a72dd26f3b0f4f2bf1dd8923c85f7ceb43172af56d63c7383eb62b332364/pygments-2.20.0-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-03-29T13:29:30.038266Z
64,pyjwt,2.13.0,False,VERIFIED_HOST_VERSION,pyjwt-2.13.0-py3-none-any.whl,py3-none-any,31274,66adcc2aff09b3f1bbd95fc1e1577df8ac8723c978552fd43304c8a290ac5728,https://files.pythonhosted.org/packages/a3/5e/ecf12fdb62546d64385c158514e9b2b671f7832108ef2ecd2020ce0af2d1/pyjwt-2.13.0-py3-none-any.whl,https://pypi.org/simple,>=3.9,2026-05-21T19:54:35.362086Z
65,pynacl,1.6.2,False,VERIFIED_HOST_VERSION,pynacl-1.6.2-cp38-abi3-win_amd64.whl,cp38-abi3-win_amd64,239754,62985f233210dee6548c223301b6c25440852e13d59a8b81490203c3227c5ba0,https://files.pythonhosted.org/packages/41/ad/334600e8cacc7d86587fe5f565480fde569dfb487389c8e1be56ac21d8ac/pynacl-1.6.2-cp38-abi3-win_amd64.whl,https://pypi.org/simple,>=3.8,2026-01-01T17:32:34.557565Z
66,pyopengl,3.1.10,True,DIRECT_PIN_VERIFIED_HOST,pyopengl-3.1.10-py3-none-any.whl,py3-none-any,3194996,794a943daced39300879e4e47bd94525280685f42dbb5a998d336cfff151d74f,https://files.pythonhosted.org/packages/de/e4/1ba6f44e491c4eece978685230dde56b14d51a0365bc1b774ddaa94d14cd/pyopengl-3.1.10-py3-none-any.whl,https://pypi.org/simple,,2025-08-18T02:32:59.902135Z
67,python-dotenv,1.2.2,False,VERIFIED_HOST_VERSION,python_dotenv-1.2.2-py3-none-any.whl,py3-none-any,22101,1d8214789a24de455a8b8bd8ae6fe3c6b69a5e3d64aa8a8e5d68e694bbcb285a,https://files.pythonhosted.org/packages/0b/d7/1959b9648791274998a9c3526f6d0ec8fd2233e4d4acce81bbae76b44b2a/python_dotenv-1.2.2-py3-none-any.whl,https://pypi.org/simple,>=3.10,2026-03-01T16:00:25.090725Z
68,pyyaml,6.0.3,True,DIRECT_PIN_VERIFIED_HOST,pyyaml-6.0.3-cp314-cp314-win_amd64.whl,cp314-cp314-win_amd64,156429,4a2e8cebe2ff6ab7d1050ecd59c25d4c8bd7e6f400f5f82b96557ac0abafd0ac,https://files.pythonhosted.org/packages/23/20/bb6982b26a40bb43951265ba29d4c246ef0ff59c9fdcdf0ed04e0687de4d/pyyaml-6.0.3-cp314-cp314-win_amd64.whl,https://pypi.org/simple,>=3.8,2025-09-25T21:32:57.844103Z
